trace_id,event_type,project_or_entity_name,capacity_mw,county_or_region,before_after,from_snapshot_id,to_snapshot_id,source_file_hash_before,source_file_hash_after,source_url,confidence,materiality_score,is_hard_alert,is_ambiguous,explanation
chg_41f6ad6dfaa94095,target_cod_delayed,La Salle Solar,512.6,La Salle,"{""target_cod"": {""after"": ""2028-09-13"", ""before"": ""2027-07-01"", ""delta_days"": 440}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,77.0978,True,False,"Target COD moved later by 440 days, above the 90-day threshold."
chg_093b5bd99c8a4e94,target_cod_delayed,Calpine Guadalupe Peakers,450.0,Guadalupe,"{""target_cod"": {""after"": ""2030-05-30"", ""before"": ""2027-05-23"", ""delta_days"": 1103}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,76.5321,True,False,"Target COD moved later by 1103 days, above the 90-day threshold."
chg_92d86fd2131c4452,target_cod_delayed,Poco Trail Solar,438.75,Wilbarger,"{""target_cod"": {""after"": ""2029-04-30"", ""before"": ""2027-05-01"", ""delta_days"": 730}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,76.4222,True,False,"Target COD moved later by 730 days, above the 90-day threshold."
chg_7a390ce06637480e,capacity_changed,The Giant Arc-II,1300.0,Pecos,"{""capacity_mw"": {""after"": 1300.0, ""before"": 1335.18}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,75.463,True,False,Capacity changed by more than the configured tolerance of the greater of 5 MW or 2%.
chg_a5a5b342d54a42fb,target_cod_delayed,Black Mountain Hale Gas,990.6,Hale,"{""target_cod"": {""after"": ""2030-04-16"", ""before"": ""2029-09-28"", ""delta_days"": 200}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,74.959,True,False,"Target COD moved later by 200 days, above the 90-day threshold."
chg_8a0825fc308d4e5d,withdrawn_project,Larkspur Energy Storage,307.46,Upton,"{""status"": {""after"": ""Withdrawn"", ""before"": ""Active""}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.93,74.8779,True,False,Latest snapshot reports the project status as Withdrawn.
chg_a58a4a7677fc4e6c,target_cod_delayed,Cibeles Solar,252.3,Mclennan,"{""target_cod"": {""after"": ""2028-08-15"", ""before"": ""2027-06-30"", ""delta_days"": 412}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,74.0192,True,False,"Target COD moved later by 412 days, above the 90-day threshold."
chg_b38f79bfafb4443b,target_cod_delayed,Black Hawk Solar,251.34,Duval,"{""target_cod"": {""after"": ""2030-12-31"", ""before"": ""2028-12-31"", ""delta_days"": 730}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,74.0026,True,False,"Target COD moved later by 730 days, above the 90-day threshold."
chg_fe6118e5c07a4081,target_cod_delayed,Bypass BESS II,205.86,Fort Bend,"{""target_cod"": {""after"": ""2028-04-30"", ""before"": ""2027-04-30"", ""delta_days"": 366}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,1.0,73.1357,True,False,"Target COD moved later by 366 days, above the 90-day threshold."
chg_b1019c65adfe464f,withdrawn_project,Pajarita BESS,205.5,Cameron,"{""status"": {""after"": ""Withdrawn"", ""before"": ""Active""}}",snap_real_ercot_gis_2026_04_bf97215d,snap_real_ercot_gis_2026_05_31f2b596,bf97215d9749e3d796b554e032a2d4bb5718c42ceccfa444b96bb1e69afc75fd,31f2b596c69c64af537e0653beb9a2ab64bdd2a01e03e4a818b33cbafc5c88cc,https://www.ercot.com/mp/data-products/data-product-details?id=PG7-200-ER,0.93,73.1281,True,False,Latest snapshot reports the project status as Withdrawn.
